wavelength_nm,c5,c4,c3,c2,c1,c0
7.794024621702400282e+02,1.114610667000656161e-11,-4.716750535357674011e-09,-1.042829991258427048e-06,6.214766894650699267e-04,-1.802055145305886744e-02,1.854214975172515434e+00
7.795925471385000947e+02,2.207861435804448277e-11,-1.248482168488315357e-08,9.044990308480347305e-07,4.207832548298072526e-04,-1.131423594847528157e-02,1.903050046734831025e+00
7.797826154314400355e+02,2.388092591751538848e-11,-1.302472971188307719e-08,8.390339441849045689e-07,4.594038739869401038e-04,-1.532603026395903609e-02,1.967541716205785773e+00
7.799726670490599645e+02,1.396328893437605241e-11,-4.943365726185125180e-09,-1.501824305503613745e-06,7.452425845421790018e-04,-2.883425257075590206e-02,2.142180860318548152e+00
7.801627019913601089e+02,9.666064093286521426e-12,-2.665494097251835237e-09,-1.940146556549151120e-06,7.877517145844891832e-04,-3.115830662203756748e-02,2.163496096369890154e+00
7.803527202583400140e+02,6.847985917390147437e-13,3.330372047409015736e-09,-3.310239767498756745e-06,9.067415759198981136e-04,-3.358467225803869055e-02,2.122573147264682714e+00
7.805427218500000208e+02,-4.938551311396459218e-12,7.462990019044826607e-09,-4.358991849327479536e-06,1.007313785377795916e-03,-3.588031783330880575e-02,2.098194974532646473e+00
7.807327067663400157e+02,-3.584913346460557403e-12,6.564113926339950288e-09,-4.150869023706557940e-06,9.912302531148216994e-04,-3.589679286052000623e-02,2.107550581324157069e+00
7.809226750073599987e+02,-1.148941432409085670e-11,1.207237502398323259e-08,-5.602054317118089412e-06,1.162875831033314492e-03,-4.386227789731080712e-02,2.169486191406404085e+00
7.811126265730599698e+02,-3.726828444429459377e-11,2.938361463222812449e-08,-9.786370905684283015e-06,1.590431495946321560e-03,-5.991072302520508708e-02,2.233623234021287818e+00
7.813025614634400426e+02,-3.735812978056426742e-11,2.870754491007835888e-08,-9.401006280311931937e-06,1.519478621898114924e-03,-5.552673133750980067e-02,2.241561598072018047e+00
7.814924796784999899e+02,-2.825122075233191715e-11,2.309548173652696148e-08,-8.211607192589893346e-06,1.427397139915766860e-03,-5.458469206886302355e-02,2.288295912374057828e+00
7.816823812182399251e+02,-3.528334772383738412e-11,2.778074319859323042e-08,-9.285115940020896363e-06,1.519963341974753463e-03,-5.586388675072820331e-02,2.189315817695486555e+00
7.818722660826599622e+02,-1.109182627981609824e-11,1.210542579983430078e-08,-5.735716143599718593e-06,1.191919255289589216e-03,-4.425770508779428014e-02,1.984309229202064984e+00
7.820621342717601010e+02,-3.209931672178437083e-11,2.461974881208440475e-08,-8.146373444098408567e-06,1.331324678581198009e-03,-4.182051184810255812e-02,1.885218612088078727e+00
